N	T	x	f(x)	
1	10,00	10,50000	-76,39674	
2	9,51	11,63269	-108,66637	
3	8,59	11,65189	-106,50796	
4	4,68	11,54700	-105,28012	
5	1,13	11,61528	-109,72550	
6	0,08	11,58435	-109,42694	
7	0,01	11,61886	-109,57907	
8	0,00	11,61809	-109,61368	
9	0,00	11,61445	-109,75406	
10	0,00	11,59351	-109,80996	
